Fighter,Elo Rating
Jon Jones,1330.72
Georges St-Pierre,1297.84
Islam Makhachev,1295.51
Khabib Nurmagomedov,1236.75
Charles Oliveira,1234.43
Aljamain Sterling,1219.61
Alexander Volkanovski,1217.79
Kamaru Usman,1217.17
Valentina Shevchenko,1212.68
Amanda Nunes,1211.62
Max Holloway,1210.33
Merab Dvalishvili,1210.06
Francis Ngannou,1205.07
Demetrious Johnson,1200.3
Movsar Evloev,1196.68
Ilia Topuria,1196.1
Belal Muhammad,1186.18
Sean Strickland,1184.57
Stipe Miocic,1181.93
Alex Pereira,1178.37
Magomed Ankalaev,1177.91
Dricus Du Plessis,1175.11
Dustin Poirier,1174.91
Alexander Volkov,1173.7
Arman Tsarukyan,1173.59
Daniel Cormier,1172.89
Carlos Ulberg,1172.17
Khamzat Chimaev,1172.16
Ciryl Gane,1172.13
Ian Machado Garry,1171.23
Leon Edwards,1171.09
Petr Yan,1170.78
Ryan Bader,1169.65
Alexandre Pantoja,1161.23
Joshua Van,1161.1
Brendan Allen,1161.07
Justin Gaethje,1160.45
Grant Dawson,1158.77
Royce Gracie,1158.12
Nassourdine Imavov,1157.93
Shavkat Rakhmonov,1156.88
Jon Fitch,1156.52
Sean O'Malley,1154.15
Sean Brady,1153.2
Robert Whittaker,1152.31
Natalia Silva,1151.3
TJ Dillashaw,1151.17
Cain Velasquez,1150.08
Umar Nurmagomedov,1149.44
Michael Morales,1149.21
Tom Aspinall,1149.07
Benson Henderson,1148.42
Zhang Weili,1148.09
Tatiana Suarez,1147.9
Michael Bisping,1145.94
Lerone Murphy,1145.88
Glover Teixeira,1145.66
Mario Bautista,1144.1
Michael Chiesa,1142.27
Colby Covington,1140.84
Manon Fiorot,1140.81
Kyoji Horiguchi,1140.6
Erin Blanchfield,1140.51
Carlos Prates,1140.48
Anthony Johnson,1139.25
Gegard Mousasi,1138.43
Cory Sandhagen,1137.07
Deiveson Figueiredo,1135.59
Don Frye,1134.24
Demian Maia,1134.18
Francisco Trinaldo,1134.01
Curtis Blaydes,1132.99
Beneil Dariush,1132.87
Jack Della Maddalena,1132.81
Benoit Saint Denis,1131.96
Caio Borralho,1129.21
Gregory Rodrigues,1128.92
Yair Rodriguez,1128.43
Nathaniel Wood,1128.37
Arnold Allen,1127.83
Dong Hyun Kim,1127.52
Conor McGregor,1127.52
Anthony Hernandez,1126.26
Pat Sabatini,1125.38
Muhammad Mokaev,1124.84
Renato Moicano,1124.79
Matt Hughes,1124.78
John Lineker,1124.61
Aiemann Zahabi,1122.78
Vicente Luque,1122.71
Rustam Khabilov,1122.66
Drakkar Klose,1122.49
Gillian Robertson,1122.41
Lyoto Machida,1122.12
Raoni Barcelos,1121.65
Song Yadong,1121.59
Raquel Pennington,1121.44
Mateusz Gamrot,1121.05
Maycee Barber,1120.75
Neil Magny,1119.57
Joe Pyfer,1118.84
Mike Malott,1118.82
Derek Brunson,1117.85
Randy Couture,1117.84
Sergei Pavlovich,1116.97
Farid Basharat,1116.83
Fares Ziam,1116.77
Daniel Rodriguez,1116.54
Rinat Fakhretdinov,1115.8
Israel Adesanya,1114.92
Steve Garcia,1114.6
Norma Dumont,1114.26
Fabricio Werdum,1113.22
Joseph Benavidez,1113.03
Paddy Pimblett,1112.13
Gregor Gillespie,1112.06
Jasmine Jasudavicius,1110.81
Gabriel Bonfim,1110.55
Zabit Magomedsharipov,1110.32
Bryan Battle,1110.19
Virna Jandiroba,1110.1
Kenny Florian,1109.21
Joaquin Buckley,1108.62
TJ Grant,1108.47
Rose Namajunas,1108.44
